obu-ramp-merge-4-1     | [7.6] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=5.3 desired=10.5 leader_spd=6.55 follow_spd=5.55
obu-ramp-merge-4-1     | [7.7] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=5.1 desired=10.5 leader_spd=6.55 follow_spd=5.55
obu-ramp-merge-4-1     | [7.9] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=5.1 desired=10.5 leader_spd=6.30 follow_spd=5.30
obu-ramp-merge-4-1     | [8.1] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=4.8 desired=10.5 leader_spd=6.30 follow_spd=5.30
obu-ramp-merge-4-1     | [8.4] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=5.0 desired=10.5 leader_spd=5.80 follow_spd=4.80
obu-ramp-merge-4-1     | [8.6] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=4.9 desired=10.5 leader_spd=5.80 follow_spd=4.80
obu-ramp-merge-3-1     | [4.2] Ramp_Merge_3 MERGE_DECISION: eta=13.14 dist=107.1 lead=103(eta=6.73 dist=127.6) host=104(eta=15.30 dist=157.3) min_eta=8.23 max_eta=10.60 gap_possible=True ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-merge-4-1     | [8.9] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=4.6 desired=10.5 leader_spd=5.80 follow_spd=4.80
obu-ramp-merge-4-1     | [9.1] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=4.6 desired=10.5 leader_spd=5.55 follow_spd=4.55
obu-ramp-merge-5-1     | [9.3] Ramp_Merge_5 RAMP_PLATOON: leader=110 gap=9.6 desired=10.5 leader_spd=5.50 follow_spd=4.50
obu-ramp-merge-4-1     | [9.3] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=4.7 desired=10.5 leader_spd=5.55 follow_spd=4.55
obu-ramp-merge-4-1     | [9.6] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=5.0 desired=10.5 leader_spd=5.51 follow_spd=4.51
obu-ramp-merge-5-1     | [9.6] Ramp_Merge_5 RAMP_PLATOON: leader=110 gap=9.2 desired=10.5 leader_spd=5.50 follow_spd=4.50
obu-ramp-merge-4-1     | [9.8] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=5.3 desired=10.5 leader_spd=5.69 follow_spd=4.69
obu-ramp-merge-5-1     | [9.8] Ramp_Merge_5 RAMP_PLATOON: leader=110 gap=9.2 desired=10.5 leader_spd=5.25 follow_spd=4.25
obu-ramp-back-1        | [10.5] Ramp_Back CAR_FOLLOW: sid=111 gap=20.8 reason=same_lane_cam follow_spd=4.70 emergency=False
obu-ramp-back-1        | [10.5] Ramp_Back role=merge state=YIELDING->YIELDING speed=7.15 target=6.90 dist=123.8 eta=17.3 following=True(sid=111 gap=20.8 reason=same_lane_cam) neighbors=11
obu-ramp-merge-4-1     | [10.0] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=5.5 desired=10.5 leader_spd=5.66 follow_spd=4.66
obu-merge-car-1        | [0.1] Merge_Car MERGE_DECISION: eta=12.42 dist=99.4 lead=101(eta=3.31 dist=95.7) host=None(eta=None dist=None) min_eta=4.81 max_eta=None gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-ramp-merge-4-1     | [10.3] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=5.8 desired=10.5 leader_spd=5.84 follow_spd=4.84
obu-ramp-merge-3-1     | [4.5] Ramp_Merge_3 RAMP_PLATOON: leader=108 gap=6.4 desired=10.5 leader_spd=8.30 follow_spd=7.30
obu-merge-car-1        | [0.2] Merge_Car MERGE_DECISION: eta=12.06 dist=99.0 lead=101(eta=3.31 dist=95.1) host=None(eta=None dist=None) min_eta=4.81 max_eta=None gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-ramp-merge-3-1     | [4.8] Ramp_Merge_3 RAMP_PLATOON: leader=108 gap=6.7 desired=10.5 leader_spd=8.30 follow_spd=7.30
obu-merge-car-1        | [0.4] Merge_Car MERGE_DECISION: eta=12.44 dist=98.3 lead=103(eta=10.88 dist=109.9) host=104(eta=15.32 dist=135.3) min_eta=12.38 max_eta=10.62 gap_possible=False ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-merge-4-1     | [10.5] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=6.0 desired=10.5 leader_spd=5.84 follow_spd=4.84
obu-ramp-merge-3-1     | [4.9] Ramp_Merge_3 RAMP_PLATOON: leader=108 gap=6.6 desired=10.5 leader_spd=8.30 follow_spd=7.30
obu-ramp-merge-3-1     | [5.1] Ramp_Merge_3 RAMP_PLATOON: leader=108 gap=7.2 desired=10.5 leader_spd=8.30 follow_spd=7.30
obu-ramp-merge-4-1     | [10.7] Ramp_Merge_4 RAMP_PLATOON: leader=109 gap=6.2 desired=10.5 leader_spd=5.78 follow_spd=4.78
obu-ramp-merge-5-1     | [10.0] Ramp_Merge_5 RAMP_PLATOON: leader=110 gap=9.0 desired=10.5 leader_spd=5.00 follow_spd=4.00
obu-ramp-back-1        | [10.7] Ramp_Back RAMP_PLATOON: leader=111 gap=8.3 desired=10.5 leader_spd=5.50 follow_spd=4.50
obu-ramp-merge-2-1     | [2.0] Ramp_Merge_2 MERGE_DECISION: eta=12.82 dist=105.1 lead=101(eta=2.02 dist=106.1) host=104(eta=16.64 dist=152.2) min_eta=3.52 max_eta=11.94 gap_possible=True ahead=True behind=False clearance=True slot=True entry_speed=True -> can_merge=False
obu-ramp-back-1        | [10.7] Ramp_Back CAR_FOLLOW: sid=111 gap=19.4 reason=same_lane_cam follow_spd=4.70 emergency=False
obu-ramp-back-1        | [10.8] Ramp_Back RAMP_PLATOON: leader=111 gap=8.5 desired=10.5 leader_spd=5.50 follow_spd=4.50
obu-ramp-merge-2-1     | [2.3] Ramp_Merge_2 MERGE_DECISION: eta=12.60 dist=104.6 lead=103(eta=8.54 dist=121.3) host=105(eta=19.96 dist=169.5) min_eta=10.04 max_eta=15.26 gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
obu-ramp-merge-2-1     | [2.4] Ramp_Merge_2 MERGE_DECISION: eta=12.58 dist=104.4 lead=103(eta=8.54 dist=120.6) host=105(eta=19.96 dist=168.7) min_eta=10.04 max_eta=15.26 gap_possible=True ahead=True behind=True clearance=True slot=True entry_speed=True -> can_merge=True
